Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,Ht,h,OD,bf,B,b,ID,tw,tf,t,tnom,tdes,kdes,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
W,W44X335,W44X335,F,335,98.5,44,–,–,–,15.9,–,–,–,1.03,1.77,–,–,–,2.56,–,–,–,–,–,4.5,–,–,38,–,–,31100,1620,1410,17.8,1200,236,150,3.49,–,–,–,74.7
W,W44X290,W44X290,F,290,85.4,43.6,–,–,–,15.8,–,–,–,0.865,1.58,–,–,–,2.36,–,–,–,–,–,5.02,–,–,45,–,–,27000,1410,1240,17.8,1040,205,132,3.49,–,–,–,50.9
W,W44X262,W44X262,F,262,77.2,43.3,–,–,–,15.8,–,–,–,0.785,1.42,–,–,–,2.2,–,–,–,–,–,5.57,–,–,49.6,–,–,24100,1270,1110,17.7,923,182,117,3.47,–,–,–,37.3
W,W44X230,W44X230,F,230,67.8,42.9,–,–,–,15.8,–,–,–,0.71,1.22,–,–,–,2.01,–,–,–,–,–,6.45,–,–,54.8,–,–,20800,1100,971,17.5,796,157,101,3.43,–,–,–,24.9
W,W40X655,W40X655,T,655,193,43.6,–,–,–,16.9,–,–,–,1.97,3.54,–,–,–,4.72,–,–,–,–,–,2.39,–,–,17.3,–,–,56500,3080,2590,17.1,2870,542,340,3.86,–,–,–,589
W,W40X593,W40X593,T,593,174,43,–,–,–,16.7,–,–,–,1.79,3.23,–,–,–,4.41,–,–,–,–,–,2.58,–,–,19.1,–,–,50400,2760,2340,17,2520,481,302,3.8,–,–,–,445
W,W40X503,W40X503,T,503,148,42.1,–,–,–,16.4,–,–,–,1.54,2.76,–,–,–,3.94,–,–,–,–,–,2.98,–,–,22.3,–,–,41600,2320,1980,16.8,2040,394,249,3.72,–,–,–,277
W,W40X431,W40X431,T,431,127,41.3,–,–,–,16.2,–,–,–,1.34,2.36,–,–,–,3.54,–,–,–,–,–,3.44,–,–,25.5,–,–,34800,1960,1690,16.6,1690,328,208,3.65,–,–,–,177
W,W40X397,W40X397,T,397,117,41,–,–,–,16.1,–,–,–,1.22,2.2,–,–,–,3.38,–,–,–,–,–,3.66,–,–,28,–,–,32000,1800,1560,16.6,1540,300,191,3.64,–,–,–,142
W,W40X372,W40X372,T,372,110,40.6,–,–,–,16.1,–,–,–,1.16,2.05,–,–,–,3.23,–,–,–,–,–,3.93,–,–,29.5,–,–,29600,1680,1460,16.5,1420,277,177,3.6,–,–,–,116
W,W40X362,W40X362,T,362,106,40.6,–,–,–,16,–,–,–,1.12,2.01,–,–,–,3.19,–,–,–,–,–,3.99,–,–,30.5,–,–,28900,1640,1420,16.5,1380,270,173,3.6,–,–,–,109
W,W40X324,W40X324,F,324,95.3,40.2,–,–,–,15.9,–,–,–,1,1.81,–,–,–,2.99,–,–,–,–,–,4.4,–,–,34.2,–,–,25600,1460,1280,16.4,1220,239,153,3.58,–,–,–,79.4
W,W40X297,W40X297,F,297,87.3,39.8,–,–,–,15.8,–,–,–,0.93,1.65,–,–,–,2.83,–,–,–,–,–,4.8,–,–,36.8,–,–,23200,1330,1170,16.3,1090,215,138,3.54,–,–,–,61.2
W,W40X277,W40X277,F,277,81.5,39.7,–,–,–,15.8,–,–,–,0.83,1.58,–,–,–,2.76,–,–,–,–,–,5.03,–,–,41.2,–,–,21900,1250,1100,16.4,1040,204,132,3.58,–,–,–,51.5
W,W40X249,W40X249,F,249,73.5,39.4,–,–,–,15.8,–,–,–,0.75,1.42,–,–,–,2.6,–,–,–,–,–,5.55,–,–,45.6,–,–,19600,1120,993,16.3,926,182,118,3.55,–,–,–,38.1
W,W40X215,W40X215,F,215,63.5,39,–,–,–,15.8,–,–,–,0.65,1.22,–,–,–,2.4,–,–,–,–,–,6.45,–,–,52.6,–,–,16700,964,859,16.2,803,156,101,3.54,–,–,–,24.8
W,W40X199,W40X199,F,199,58.8,38.7,–,–,–,15.8,–,–,–,0.65,1.07,–,–,–,2.25,–,–,–,–,–,7.39,–,–,52.6,–,–,14900,869,770,16,695,137,88.2,3.45,–,–,–,18.3
W,W40X392,W40X392,T,392,116,41.6,–,–,–,12.4,–,–,–,1.42,2.52,–,–,–,3.7,–,–,–,–,–,2.45,–,–,24.1,–,–,29900,1710,1440,16.1,803,212,130,2.64,–,–,–,172
W,W40X331,W40X331,T,331,97.7,40.8,–,–,–,12.2,–,–,–,1.22,2.13,–,–,–,3.31,–,–,–,–,–,2.86,–,–,28,–,–,24700,1430,1210,15.9,644,172,106,2.57,–,–,–,105
W,W40X327,W40X327,T,327,95.9,40.8,–,–,–,12.1,–,–,–,1.18,2.13,–,–,–,3.31,–,–,–,–,–,2.85,–,–,29,–,–,24500,1410,1200,16,640,170,105,2.58,–,–,–,103
W,W40X294,W40X294,F,294,86.2,40.4,–,–,–,12,–,–,–,1.06,1.93,–,–,–,3.11,–,–,–,–,–,3.11,–,–,32.2,–,–,21900,1270,1080,15.9,562,150,93.5,2.55,–,–,–,76.6
W,W40X278,W40X278,F,278,82.3,40.2,–,–,–,12,–,–,–,1.03,1.81,–,–,–,2.99,–,–,–,–,–,3.31,–,–,33.3,–,–,20500,1190,1020,15.8,521,140,87.1,2.52,–,–,–,65
W,W40X264,W40X264,F,264,77.4,40,–,–,–,11.9,–,–,–,0.96,1.73,–,–,–,2.91,–,–,–,–,–,3.45,–,–,35.6,–,–,19400,1130,971,15.8,493,132,82.6,2.52,–,–,–,56.1
W,W40X235,W40X235,F,235,69.1,39.7,–,–,–,11.9,–,–,–,0.83,1.58,–,–,–,2.76,–,–,–,–,–,3.77,–,–,41.2,–,–,17400,1010,875,15.9,444,118,74.6,2.54,–,–,–,41.3
W,W40X211,W40X211,F,211,62.1,39.4,–,–,–,11.8,–,–,–,0.75,1.42,–,–,–,2.6,–,–,–,–,–,4.17,–,–,45.6,–,–,15500,906,786,15.8,390,105,66.1,2.51,–,–,–,30.4
W,W40X183,W40X183,F,183,53.3,39,–,–,–,11.8,–,–,–,0.65,1.2,–,–,–,2.38,–,–,–,–,–,4.92,–,–,52.6,–,–,13200,774,675,15.7,331,88.3,56,2.49,–,–,–,19.3
W,W40X167,W40X167,F,167,49.3,38.6,–,–,–,11.8,–,–,–,0.65,1.03,–,–,–,2.21,–,–,–,–,–,5.76,–,–,52.6,–,–,11600,693,600,15.3,283,76,47.9,2.4,–,–,–,14
W,W40X149,W40X149,F,149,43.8,38.2,–,–,–,11.8,–,–,–,0.63,0.83,–,–,–,2.01,–,–,–,–,–,7.11,–,–,54.3,–,–,9800,598,513,15,229,62.2,38.8,2.29,–,–,–,9.36
W,W36X925,W36X925,T,925,272,43.1,–,–,–,18.6,–,–,–,3.02,4.53,–,–,–,5.28,–,–,–,–,–,2.05,–,–,10.8,–,–,73000,4130,3390,16.4,4940,862,531,4.26,–,–,–,1430
W,W36X853,W36X853,T,853,251,43.1,–,–,–,18.2,–,–,–,2.52,4.53,–,–,–,5.28,–,–,–,–,–,2.01,–,–,12.9,–,–,70000,3920,3250,16.7,4600,805,505,4.28,–,–,–,1240
W,W36X802,W36X802,T,802,236,42.6,–,–,–,18,–,–,–,2.38,4.29,–,–,–,5.04,–,–,–,–,–,2.1,–,–,13.7,–,–,64800,3660,3040,16.6,4210,744,468,4.22,–,–,–,1050
W,W36X723,W36X723,T,723,213,41.8,–,–,–,17.8,–,–,–,2.17,3.9,–,–,–,4.65,–,–,–,–,–,2.28,–,–,15,–,–,57300,3270,2740,16.4,3700,658,416,4.17,–,–,–,785
W,W36X652,W36X652,T,652,192,41.1,–,–,–,17.6,–,–,–,1.97,3.54,–,–,–,4.49,–,–,–,–,–,2.48,–,–,16.3,–,–,50600,2910,2460,16.2,3230,581,367,4.1,–,–,–,593
W,W36X529,W36X529,T,529,156,39.8,–,–,–,17.2,–,–,–,1.61,2.91,–,–,–,3.86,–,–,–,–,–,2.96,–,–,19.9,–,–,39600,2330,1990,16,2490,454,289,4,–,–,–,327
W,W36X487,W36X487,T,487,143,39.3,–,–,–,17.1,–,–,–,1.5,2.68,–,–,–,3.63,–,–,–,–,–,3.19,–,–,21.4,–,–,36000,2130,1830,15.8,2250,412,263,3.96,–,–,–,258
W,W36X441,W36X441,T,441,130,38.9,–,–,–,17,–,–,–,1.36,2.44,–,–,–,3.39,–,–,–,–,–,3.48,–,–,23.6,–,–,32100,1910,1650,15.7,1990,368,235,3.92,–,–,–,194
W,W36X395,W36X395,T,395,116,38.4,–,–,–,16.8,–,–,–,1.22,2.2,–,–,–,3.15,–,–,–,–,–,3.83,–,–,26.3,–,–,28500,1710,1490,15.7,1750,325,208,3.88,–,–,–,142
W,W36X361,W36X361,T,361,106,38,–,–,–,16.7,–,–,–,1.12,2.01,–,–,–,2.96,–,–,–,–,–,4.16,–,–,28.6,–,–,25700,1550,1350,15.6,1570,293,188,3.85,–,–,–,109
W,W36X330,W36X330,F,330,96.9,37.7,–,–,–,16.6,–,–,–,1.02,1.85,–,–,–,2.8,–,–,–,–,–,4.49,–,–,31.4,–,–,23300,1410,1240,15.5,1420,265,171,3.83,–,–,–,84.3
W,W36X302,W36X302,F,302,89,37.3,–,–,–,16.7,–,–,–,0.945,1.68,–,–,–,2.63,–,–,–,–,–,4.96,–,–,33.9,–,–,21100,1280,1130,15.4,1300,241,156,3.82,–,–,–,64.3
W,W36X282,W36X282,F,282,82.9,37.1,–,–,–,16.6,–,–,–,0.885,1.57,–,–,–,2.52,–,–,–,–,–,5.29,–,–,36.2,–,–,19600,1190,1050,15.4,1200,223,144,3.8,–,–,–,52.7
W,W36X262,W36X262,F,262,77.2,36.9,–,–,–,16.6,–,–,–,0.84,1.44,–,–,–,2.39,–,–,–,–,–,5.75,–,–,38.2,–,–,17900,1100,972,15.3,1090,204,132,3.76,–,–,–,41.6
W,W36X247,W36X247,F,247,72.5,36.7,–,–,–,16.5,–,–,–,0.8,1.35,–,–,–,2.3,–,–,–,–,–,6.11,–,–,40.1,–,–,16700,1030,913,15.2,1010,190,123,3.74,–,–,–,34.7
W,W36X231,W36X231,F,231,68.2,36.5,–,–,–,16.5,–,–,–,0.76,1.26,–,–,–,2.21,–,–,–,–,–,6.54,–,–,42.2,–,–,15600,963,854,15.1,940,176,114,3.71,–,–,–,28.7
W,W36X256,W36X256,F,256,75.3,37.4,–,–,–,12.2,–,–,–,0.96,1.73,–,–,–,2.48,–,–,–,–,–,3.53,–,–,33.8,–,–,16800,1040,895,14.9,528,137,86.5,2.65,–,–,–,52.9
W,W36X232,W36X232,F,232,68,37.1,–,–,–,12.1,–,–,–,0.87,1.57,–,–,–,2.32,–,–,–,–,–,3.86,–,–,37.3,–,–,15000,936,809,14.8,468,122,77.2,2.62,–,–,–,39.6
W,W36X210,W36X210,F,210,61.9,36.7,–,–,–,12.2,–,–,–,0.83,1.36,–,–,–,2.11,–,–,–,–,–,4.48,–,–,39.1,–,–,13200,833,719,14.6,411,107,67.5,2.58,–,–,–,28
W,W36X194,W36X194,F,194,57,36.5,–,–,–,12.1,–,–,–,0.765,1.26,–,–,–,2.01,–,–,–,–,–,4.81,–,–,42.4,–,–,12100,767,664,14.6,375,97.7,61.9,2.56,–,–,–,22.2
W,W36X182,W36X182,F,182,53.6,36.3,–,–,–,12.1,–,–,–,0.725,1.18,–,–,–,1.93,–,–,–,–,–,5.12,–,–,44.8,–,–,11300,718,623,14.5,347,90.7,57.6,2.55,–,–,–,18.5
W,W36X170,W36X170,F,170,50,36.2,–,–,–,12,–,–,–,0.68,1.1,–,–,–,1.85,–,–,–,–,–,5.47,–,–,47.7,–,–,10500,668,581,14.5,320,83.8,53.2,2.53,–,–,–,15.1
W,W36X160,W36X160,F,160,47,36,–,–,–,12,–,–,–,0.65,1.02,–,–,–,1.77,–,–,–,–,–,5.88,–,–,49.9,–,–,9760,624,542,14.4,295,77.3,49.1,2.5,–,–,–,12.4
W,W36X150,W36X150,F,150,44.3,35.9,–,–,–,12,–,–,–,0.625,0.94,–,–,–,1.69,–,–,–,–,–,6.37,–,–,51.9,–,–,9040,581,504,14.3,270,70.9,45.1,2.47,–,–,–,10.1
W,W36X135,W36X135,F,135,39.9,35.6,–,–,–,12,–,–,–,0.6,0.79,–,–,–,1.54,–,–,–,–,–,7.56,–,–,54.1,–,–,7800,509,439,14,225,59.7,37.7,2.38,–,–,–,7
W,W33X387,W33X387,T,387,114,36,–,–,–,16.2,–,–,–,1.26,2.28,–,–,–,3.07,–,–,–,–,–,3.55,–,–,23.7,–,–,24300,1560,1350,14.6,1620,312,200,3.77,–,–,–,148
W,W33X354,W33X354,T,354,104,35.6,–,–,–,16.1,–,–,–,1.16,2.09,–,–,–,2.88,–,–,–,–,–,3.85,–,–,25.7,–,–,22000,1420,1240,14.5,1460,282,181,3.74,–,–,–,115
W,W33X318,W33X318,F,318,93.7,35.2,–,–,–,16,–,–,–,1.04,1.89,–,–,–,2.68,–,–,–,–,–,4.23,–,–,28.7,–,–,19500,1270,1110,14.5,1290,250,161,3.71,–,–,–,84.4
W,W33X291,W33X291,F,291,85.6,34.8,–,–,–,15.9,–,–,–,0.96,1.73,–,–,–,2.52,–,–,–,–,–,4.6,–,–,31,–,–,17700,1160,1020,14.4,1160,226,146,3.68,–,–,–,65.1
W,W33X263,W33X263,F,263,77.4,34.5,–,–,–,15.8,–,–,–,0.87,1.57,–,–,–,2.36,–,–,–,–,–,5.03,–,–,34.3,–,–,15900,1040,919,14.3,1040,202,131,3.66,–,–,–,48.7
W,W33X241,W33X241,F,241,71.1,34.2,–,–,–,15.9,–,–,–,0.83,1.4,–,–,–,2.19,–,–,–,–,–,5.66,–,–,35.9,–,–,14200,940,831,14.1,933,182,118,3.62,–,–,–,36.2
W,W33X221,W33X221,F,221,65.3,33.9,–,–,–,15.8,–,–,–,0.775,1.28,–,–,–,2.06,–,–,–,–,–,6.2,–,–,38.5,–,–,12900,857,759,14.1,840,164,106,3.59,–,–,–,27.8
W,W33X201,W33X201,F,201,59.1,33.7,–,–,–,15.7,–,–,–,0.715,1.15,–,–,–,1.94,–,–,–,–,–,6.85,–,–,41.7,–,–,11600,773,686,14,749,147,95.2,3.56,–,–,–,20.8
W,W33X169,W33X169,F,169,49.5,33.8,–,–,–,11.5,–,–,–,0.67,1.22,–,–,–,1.92,–,–,–,–,–,4.71,–,–,44.7,–,–,9290,629,549,13.7,310,84.4,53.9,2.5,–,–,–,17.7
W,W33X152,W33X152,F,152,44.9,33.5,–,–,–,11.6,–,–,–,0.635,1.06,–,–,–,1.76,–,–,–,–,–,5.48,–,–,47.2,–,–,8160,559,487,13.5,273,73.9,47.2,2.47,–,–,–,12.4
W,W33X141,W33X141,F,141,41.5,33.3,–,–,–,11.5,–,–,–,0.605,0.96,–,–,–,1.66,–,–,–,–,–,6.01,–,–,49.6,–,–,7450,514,448,13.4,246,66.9,42.7,2.43,–,–,–,9.7
W,W33X130,W33X130,F,130,38.3,33.1,–,–,–,11.5,–,–,–,0.58,0.855,–,–,–,1.56,–,–,–,–,–,6.73,–,–,51.7,–,–,6710,467,406,13.2,218,59.5,37.9,2.39,–,–,–,7.37
W,W33X118,W33X118,F,118,34.7,32.9,–,–,–,11.5,–,–,–,0.55,0.74,–,–,–,1.44,–,–,–,–,–,7.76,–,–,54.5,–,–,5900,415,359,13,187,51.3,32.6,2.32,–,–,–,5.3
W,W30X391,W30X391,T,391,115,33.2,–,–,–,15.6,–,–,–,1.36,2.44,–,–,–,3.23,–,–,–,–,–,3.19,–,–,19.7,–,–,20700,1450,1250,13.4,1550,310,198,3.67,–,–,–,173
W,W30X357,W30X357,T,357,105,32.8,–,–,–,15.5,–,–,–,1.24,2.24,–,–,–,3.03,–,–,–,–,–,3.45,–,–,21.6,–,–,18700,1320,1140,13.3,1390,279,179,3.64,–,–,–,134
W,W30X326,W30X326,T,326,95.9,32.4,–,–,–,15.4,–,–,–,1.14,2.05,–,–,–,2.84,–,–,–,–,–,3.75,–,–,23.4,–,–,16800,1190,1040,13.2,1240,252,162,3.6,–,–,–,103
W,W30X292,W30X292,F,292,86,32,–,–,–,15.3,–,–,–,1.02,1.85,–,–,–,2.64,–,–,–,–,–,4.12,–,–,26.2,–,–,14900,1060,930,13.2,1100,223,144,3.58,–,–,–,75.2
W,W30X261,W30X261,F,261,77,31.6,–,–,–,15.2,–,–,–,0.93,1.65,–,–,–,2.44,–,–,–,–,–,4.59,–,–,28.7,–,–,13100,943,829,13.1,959,196,127,3.53,–,–,–,54.1
W,W30X235,W30X235,F,235,69.3,31.3,–,–,–,15.1,–,–,–,0.83,1.5,–,–,–,2.29,–,–,–,–,–,5.02,–,–,32.2,–,–,11700,847,748,13,855,175,114,3.51,–,–,–,40.3
W,W30X211,W30X211,F,211,62.3,30.9,–,–,–,15.1,–,–,–,0.775,1.32,–,–,–,2.1,–,–,–,–,–,5.74,–,–,34.5,–,–,10300,751,665,12.9,757,155,100,3.49,–,–,–,28.4
W,W30X191,W30X191,F,191,56.1,30.7,–,–,–,15,–,–,–,0.71,1.19,–,–,–,1.97,–,–,–,–,–,6.35,–,–,37.7,–,–,9200,675,600,12.8,673,138,89.5,3.46,–,–,–,21
W,W30X173,W30X173,F,173,50.9,30.4,–,–,–,15,–,–,–,0.655,1.07,–,–,–,1.85,–,–,–,–,–,7.04,–,–,40.8,–,–,8230,607,541,12.7,598,123,79.8,3.42,–,–,–,15.6
W,W30X148,W30X148,F,148,43.6,30.7,–,–,–,10.5,–,–,–,0.65,1.18,–,–,–,1.83,–,–,–,–,–,4.44,–,–,41.6,–,–,6680,500,436,12.4,227,68,43.3,2.28,–,–,–,14.5
W,W30X132,W30X132,F,132,38.8,30.3,–,–,–,10.5,–,–,–,0.615,1,–,–,–,1.65,–,–,–,–,–,5.27,–,–,43.9,–,–,5770,437,380,12.2,196,58.4,37.2,2.25,–,–,–,9.72
W,W30X124,W30X124,F,124,36.5,30.2,–,–,–,10.5,–,–,–,0.585,0.93,–,–,–,1.58,–,–,–,–,–,5.65,–,–,46.2,–,–,5360,408,355,12.1,181,54,34.4,2.23,–,–,–,7.99
W,W30X116,W30X116,F,116,34.2,30,–,–,–,10.5,–,–,–,0.565,0.85,–,–,–,1.5,–,–,–,–,–,6.17,–,–,47.8,–,–,4930,378,329,12,164,49.2,31.3,2.19,–,–,–,6.43
W,W30X108,W30X108,F,108,31.7,29.8,–,–,–,10.5,–,–,–,0.545,0.76,–,–,–,1.41,–,–,–,–,–,6.89,–,–,49.6,–,–,4470,346,299,11.9,146,43.9,27.9,2.15,–,–,–,4.99
W,W30X99,W30X99,F,99,29,29.7,–,–,–,10.5,–,–,–,0.52,0.67,–,–,–,1.32,–,–,–,–,–,7.8,–,–,51.9,–,–,3990,312,269,11.7,128,38.6,24.5,2.1,–,–,–,3.77
W,W30X90,W30X90,F,90,26.3,29.5,–,–,–,10.4,–,–,–,0.47,0.61,–,–,–,1.26,–,–,–,–,–,8.52,–,–,57.5,–,–,3610,283,245,11.7,115,34.7,22.1,2.09,–,–,–,2.84
W,W27X539,W27X539,T,539,159,32.5,–,–,–,15.3,–,–,–,1.97,3.54,–,–,–,4.33,–,–,–,–,–,2.15,–,–,12.1,–,–,25600,1890,1570,12.7,2110,437,277,3.65,–,–,–,496
W,W27X368,W27X368,T,368,109,30.4,–,–,–,14.7,–,–,–,1.38,2.48,–,–,–,3.27,–,–,–,–,–,2.96,–,–,17.3,–,–,16200,1240,1060,12.2,1310,279,179,3.48,–,–,–,170
W,W27X336,W27X336,T,336,99.2,30,–,–,–,14.6,–,–,–,1.26,2.28,–,–,–,3.07,–,–,–,–,–,3.19,–,–,18.9,–,–,14600,1130,972,12.1,1180,252,162,3.45,–,–,–,131
W,W27X307,W27X307,T,307,90.2,29.6,–,–,–,14.4,–,–,–,1.16,2.09,–,–,–,2.88,–,–,–,–,–,3.46,–,–,20.6,–,–,13100,1030,887,12,1050,227,146,3.41,–,–,–,101
W,W27X281,W27X281,F,281,83.1,29.3,–,–,–,14.4,–,–,–,1.06,1.93,–,–,–,2.72,–,–,–,–,–,3.72,–,–,22.5,–,–,11900,936,814,12,953,206,133,3.39,–,–,–,79.5
W,W27X258,W27X258,F,258,76.1,29,–,–,–,14.3,–,–,–,0.98,1.77,–,–,–,2.56,–,–,–,–,–,4.03,–,–,24.4,–,–,10800,852,745,11.9,859,187,120,3.36,–,–,–,61.6
W,W27X235,W27X235,F,235,69.4,28.7,–,–,–,14.2,–,–,–,0.91,1.61,–,–,–,2.4,–,–,–,–,–,4.41,–,–,26.2,–,–,9700,772,677,11.8,769,168,108,3.33,–,–,–,47
W,W27X217,W27X217,F,217,63.9,28.4,–,–,–,14.1,–,–,–,0.83,1.5,–,–,–,2.29,–,–,–,–,–,4.71,–,–,28.7,–,–,8910,711,627,11.8,704,154,100,3.32,–,–,–,37.6
W,W27X194,W27X194,F,194,57.1,28.1,–,–,–,14,–,–,–,0.75,1.34,–,–,–,2.13,–,–,–,–,–,5.24,–,–,31.8,–,–,7860,631,559,11.7,619,136,88.1,3.29,–,–,–,27.1
W,W27X178,W27X178,F,178,52.5,27.8,–,–,–,14.1,–,–,–,0.725,1.19,–,–,–,1.98,–,–,–,–,–,5.92,–,–,32.9,–,–,7020,570,505,11.6,555,122,78.8,3.25,–,–,–,20.1
W,W27X161,W27X161,F,161,47.6,27.6,–,–,–,14,–,–,–,0.66,1.08,–,–,–,1.87,–,–,–,–,–,6.49,–,–,36.1,–,–,6310,515,458,11.5,497,109,70.9,3.23,–,–,–,15.1
