Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,Ht,h,OD,bf,B,b,ID,tw,tf,t,tnom,tdes,kdes,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
W,W14X283,W14X283,T,283,83.3,16.7,–,–,–,16.1,–,–,–,1.29,2.07,–,–,–,2.67,–,–,–,–,–,3.89,–,–,8.84,–,–,3840,542,459,6.79,1440,274,179,4.17,–,–,–,104
W,W14X257,W14X257,F,257,75.6,16.4,–,–,–,16,–,–,–,1.18,1.89,–,–,–,2.49,–,–,–,–,–,4.23,–,–,9.71,–,–,3400,487,415,6.71,1290,246,161,4.13,–,–,–,79.1
W,W14X233,W14X233,F,233,68.5,16,–,–,–,15.9,–,–,–,1.07,1.72,–,–,–,2.32,–,–,–,–,–,4.62,–,–,10.7,–,–,3010,436,375,6.63,1150,221,145,4.1,–,–,–,59.5
W,W14X211,W14X211,F,211,62,15.7,–,–,–,15.8,–,–,–,0.98,1.56,–,–,–,2.16,–,–,–,–,–,5.06,–,–,11.6,–,–,2660,390,338,6.55,1030,198,130,4.07,–,–,–,44.6
W,W14X193,W14X193,F,193,56.8,15.5,–,–,–,15.7,–,–,–,0.89,1.44,–,–,–,2.04,–,–,–,–,–,5.45,–,–,12.8,–,–,2400,355,310,6.5,931,180,119,4.05,–,–,–,34.8
W,W14X176,W14X176,F,176,51.8,15.2,–,–,–,15.7,–,–,–,0.83,1.31,–,–,–,1.91,–,–,–,–,–,5.97,–,–,13.7,–,–,2140,320,281,6.43,838,163,107,4.02,–,–,–,26.5
W,W14X159,W14X159,F,159,46.7,15,–,–,–,15.6,–,–,–,0.745,1.19,–,–,–,1.79,–,–,–,–,–,6.54,–,–,15.3,–,–,1900,287,254,6.38,748,146,96.2,4,–,–,–,19.7
W,W14X145,W14X145,F,145,42.7,14.8,–,–,–,15.5,–,–,–,0.68,1.09,–,–,–,1.69,–,–,–,–,–,7.11,–,–,16.8,–,–,1710,260,232,6.33,677,133,87.3,3.98,–,–,–,15.2
W,W14X132,W14X132,F,132,38.8,14.7,–,–,–,14.7,–,–,–,0.645,1.03,–,–,–,1.63,–,–,–,–,–,7.15,–,–,17.7,–,–,1530,234,209,6.28,548,113,74.5,3.76,–,–,–,12.3
W,W14X120,W14X120,F,120,35.3,14.5,–,–,–,14.7,–,–,–,0.59,0.94,–,–,–,1.54,–,–,–,–,–,7.8,–,–,19.3,–,–,1380,212,190,6.24,495,102,67.5,3.74,–,–,–,9.37
W,W14X109,W14X109,F,109,32,14.3,–,–,–,14.6,–,–,–,0.525,0.86,–,–,–,1.46,–,–,–,–,–,8.49,–,–,21.7,–,–,1240,192,173,6.22,447,92.7,61.2,3.73,–,–,–,7.12
W,W14X99,W14X99,F,99,29.1,14.2,–,–,–,14.6,–,–,–,0.485,0.78,–,–,–,1.38,–,–,–,–,–,9.34,–,–,23.5,–,–,1110,173,157,6.17,402,83.6,55.2,3.71,–,–,–,5.37
W,W14X90,W14X90,F,90,26.5,14,–,–,–,14.5,–,–,–,0.44,0.71,–,–,–,1.31,–,–,–,–,–,10.2,–,–,25.9,–,–,999,157,143,6.14,362,75.6,49.9,3.7,–,–,–,4.06
W,W14X82,W14X82,F,82,24,14.3,–,–,–,10.1,–,–,–,0.51,0.855,–,–,–,1.45,–,–,–,–,–,5.92,–,–,22.4,–,–,881,139,123,6.05,148,44.8,29.3,2.48,–,–,–,5.07
W,W14X74,W14X74,F,74,21.8,14.2,–,–,–,10.1,–,–,–,0.45,0.785,–,–,–,1.38,–,–,–,–,–,6.41,–,–,25.4,–,–,795,126,112,6.04,134,40.5,26.6,2.48,–,–,–,3.87
W,W14X68,W14X68,F,68,20,14,–,–,–,10,–,–,–,0.415,0.72,–,–,–,1.31,–,–,–,–,–,6.97,–,–,27.5,–,–,722,115,103,6.01,121,36.9,24.2,2.46,–,–,–,3.01
W,W14X61,W14X61,F,61,17.9,13.9,–,–,–,10,–,–,–,0.375,0.645,–,–,–,1.24,–,–,–,–,–,7.75,–,–,30.4,–,–,640,102,92.1,5.98,107,32.8,21.5,2.45,–,–,–,2.19
W,W14X53,W14X53,F,53,15.6,13.9,–,–,–,8.06,–,–,–,0.37,0.66,–,–,–,1.25,–,–,–,–,–,6.11,–,–,30.9,–,–,541,87.1,77.8,5.89,57.7,22,14.3,1.92,–,–,–,1.94
W,W14X48,W14X48,F,48,14.1,13.8,–,–,–,8.03,–,–,–,0.34,0.595,–,–,–,1.19,–,–,–,–,–,6.75,–,–,33.6,–,–,484,78.4,70.2,5.85,51.4,19.6,12.8,1.91,–,–,–,1.45
W,W14X43,W14X43,F,43,12.6,13.7,–,–,–,8,–,–,–,0.305,0.53,–,–,–,1.12,–,–,–,–,–,7.54,–,–,37.4,–,–,428,69.6,62.6,5.82,45.2,17.3,11.3,1.89,–,–,–,1.05
W,W14X38,W14X38,F,38,11.2,14.1,–,–,–,6.77,–,–,–,0.31,0.515,–,–,–,0.915,–,–,–,–,–,6.57,–,–,39.6,–,–,385,61.5,54.6,5.87,26.7,12.1,7.88,1.55,–,–,–,0.798
W,W14X34,W14X34,F,34,10,14,–,–,–,6.75,–,–,–,0.285,0.455,–,–,–,0.855,–,–,–,–,–,7.41,–,–,43.1,–,–,340,54.6,48.6,5.83,23.3,10.6,6.91,1.53,–,–,–,0.569
W,W14X30,W14X30,F,30,8.85,13.8,–,–,–,6.73,–,–,–,0.27,0.385,–,–,–,0.785,–,–,–,–,–,8.74,–,–,45.4,–,–,291,47.3,42,5.73,19.6,8.99,5.82,1.49,–,–,–,0.38
W,W14X26,W14X26,F,26,7.69,13.9,–,–,–,5.03,–,–,–,0.255,0.42,–,–,–,0.82,–,–,–,–,–,5.98,–,–,48.1,–,–,245,40.2,35.3,5.65,8.91,5.54,3.55,1.08,–,–,–,0.358
W,W14X22,W14X22,F,22,6.49,13.7,–,–,–,5,–,–,–,0.23,0.335,–,–,–,0.735,–,–,–,–,–,7.46,–,–,53.3,–,–,199,33.2,29,5.54,7,4.39,2.8,1.04,–,–,–,0.208
W,W12X336,W12X336,T,336,98.9,16.8,–,–,–,13.4,–,–,–,1.78,2.96,–,–,–,3.55,–,–,–,–,–,2.26,–,–,5.47,–,–,4060,603,483,6.41,1190,274,177,3.47,–,–,–,243
W,W12X305,W12X305,T,305,89.5,16.3,–,–,–,13.2,–,–,–,1.63,2.71,–,–,–,3.3,–,–,–,–,–,2.45,–,–,5.98,–,–,3550,537,435,6.29,1050,244,159,3.42,–,–,–,185
W,W12X279,W12X279,T,279,81.9,15.9,–,–,–,13.1,–,–,–,1.53,2.47,–,–,–,3.07,–,–,–,–,–,2.66,–,–,6.35,–,–,3110,481,393,6.16,937,220,143,3.38,–,–,–,143
W,W12X252,W12X252,T,252,74.1,15.4,–,–,–,13,–,–,–,1.4,2.25,–,–,–,2.85,–,–,–,–,–,2.89,–,–,6.96,–,–,2720,428,353,6.06,828,196,127,3.34,–,–,–,108
W,W12X230,W12X230,T,230,67.7,15.1,–,–,–,12.9,–,–,–,1.29,2.07,–,–,–,2.67,–,–,–,–,–,3.11,–,–,7.56,–,–,2420,386,321,5.97,742,177,115,3.31,–,–,–,83.8
W,W12X210,W12X210,F,210,61.8,14.7,–,–,–,12.8,–,–,–,1.18,1.9,–,–,–,2.5,–,–,–,–,–,3.37,–,–,8.23,–,–,2140,348,292,5.89,664,159,104,3.28,–,–,–,64.7
W,W12X190,W12X190,F,190,56,14.4,–,–,–,12.7,–,–,–,1.06,1.74,–,–,–,2.33,–,–,–,–,–,3.65,–,–,9.16,–,–,1890,311,263,5.82,589,143,93,3.25,–,–,–,48.8
W,W12X170,W12X170,F,170,50,14,–,–,–,12.6,–,–,–,0.96,1.56,–,–,–,2.16,–,–,–,–,–,4.03,–,–,10.1,–,–,1650,275,235,5.74,517,126,82.3,3.22,–,–,–,35.6
W,W12X152,W12X152,F,152,44.7,13.7,–,–,–,12.5,–,–,–,0.87,1.4,–,–,–,2,–,–,–,–,–,4.46,–,–,11.2,–,–,1430,243,209,5.66,454,111,72.8,3.19,–,–,–,25.8
W,W12X136,W12X136,F,136,39.9,13.4,–,–,–,12.4,–,–,–,0.79,1.25,–,–,–,1.85,–,–,–,–,–,4.96,–,–,12.3,–,–,1240,214,186,5.58,398,98,64.2,3.16,–,–,–,18.5
W,W12X120,W12X120,F,120,35.2,13.1,–,–,–,12.3,–,–,–,0.71,1.11,–,–,–,1.7,–,–,–,–,–,5.57,–,–,13.7,–,–,1070,186,163,5.51,345,85.4,56,3.13,–,–,–,12.9
W,W12X106,W12X106,F,106,31.2,12.9,–,–,–,12.2,–,–,–,0.61,0.99,–,–,–,1.59,–,–,–,–,–,6.17,–,–,15.9,–,–,933,164,145,5.47,301,75.1,49.3,3.11,–,–,–,9.13
W,W12X96,W12X96,F,96,28.2,12.7,–,–,–,12.2,–,–,–,0.55,0.9,–,–,–,1.5,–,–,–,–,–,6.76,–,–,17.7,–,–,833,147,131,5.44,270,67.5,44.4,3.09,–,–,–,6.85
W,W12X87,W12X87,F,87,25.6,12.5,–,–,–,12.1,–,–,–,0.515,0.81,–,–,–,1.41,–,–,–,–,–,7.48,–,–,18.9,–,–,740,132,118,5.38,241,60.4,39.7,3.07,–,–,–,5.1
W,W12X79,W12X79,F,79,23.2,12.4,–,–,–,12.1,–,–,–,0.47,0.735,–,–,–,1.33,–,–,–,–,–,8.22,–,–,20.7,–,–,662,119,107,5.34,216,54.3,35.8,3.05,–,–,–,3.84
W,W12X72,W12X72,F,72,21.1,12.3,–,–,–,12,–,–,–,0.43,0.67,–,–,–,1.27,–,–,–,–,–,8.99,–,–,22.6,–,–,597,108,97.4,5.31,195,49.2,32.4,3.04,–,–,–,2.93
W,W12X65,W12X65,F,65,19.1,12.1,–,–,–,12,–,–,–,0.39,0.605,–,–,–,1.2,–,–,–,–,–,9.92,–,–,24.9,–,–,533,96.8,87.9,5.28,174,44.1,29.1,3.02,–,–,–,2.18
W,W12X58,W12X58,F,58,17,12.2,–,–,–,10,–,–,–,0.36,0.64,–,–,–,1.24,–,–,–,–,–,7.82,–,–,27,–,–,475,86.4,78,5.28,107,32.5,21.4,2.51,–,–,–,2.1
W,W12X53,W12X53,F,53,15.6,12.1,–,–,–,10,–,–,–,0.345,0.575,–,–,–,1.18,–,–,–,–,–,8.69,–,–,28.1,–,–,425,77.9,70.6,5.23,95.8,29.1,19.2,2.48,–,–,–,1.58
W,W12X50,W12X50,F,50,14.6,12.2,–,–,–,8.08,–,–,–,0.37,0.64,–,–,–,1.14,–,–,–,–,–,6.31,–,–,26.8,–,–,391,71.9,64.2,5.18,56.3,21.3,13.9,1.96,–,–,–,1.71
W,W12X45,W12X45,F,45,13.1,12.1,–,–,–,8.05,–,–,–,0.335,0.575,–,–,–,1.08,–,–,–,–,–,7,–,–,29.6,–,–,348,64.2,57.7,5.15,50,19,12.4,1.95,–,–,–,1.26
W,W12X40,W12X40,F,40,11.7,11.9,–,–,–,8.01,–,–,–,0.295,0.515,–,–,–,1.02,–,–,–,–,–,7.77,–,–,33.6,–,–,307,57,51.5,5.13,44.1,16.8,11,1.94,–,–,–,0.906
W,W12X35,W12X35,F,35,10.3,12.5,–,–,–,6.56,–,–,–,0.3,0.52,–,–,–,0.82,–,–,–,–,–,6.31,–,–,36.2,–,–,285,51.2,45.6,5.25,24.5,11.5,7.47,1.54,–,–,–,0.741
W,W12X30,W12X30,F,30,8.79,12.3,–,–,–,6.52,–,–,–,0.26,0.44,–,–,–,0.74,–,–,–,–,–,7.41,–,–,41.8,–,–,238,43.1,38.6,5.21,20.3,9.56,6.24,1.52,–,–,–,0.457
W,W12X26,W12X26,F,26,7.65,12.2,–,–,–,6.49,–,–,–,0.23,0.38,–,–,–,0.68,–,–,–,–,–,8.54,–,–,47.2,–,–,204,37.2,33.4,5.17,17.3,8.17,5.34,1.51,–,–,–,0.3
W,W12X22,W12X22,F,22,6.48,12.3,–,–,–,4.03,–,–,–,0.26,0.425,–,–,–,0.725,–,–,–,–,–,4.74,–,–,41.8,–,–,156,29.3,25.4,4.91,4.66,3.66,2.31,0.848,–,–,–,0.293
W,W12X19,W12X19,F,19,5.57,12.2,–,–,–,4.01,–,–,–,0.235,0.35,–,–,–,0.65,–,–,–,–,–,5.72,–,–,46.2,–,–,130,24.7,21.3,4.82,3.76,2.98,1.88,0.822,–,–,–,0.18
W,W12X16,W12X16,F,16,4.71,12,–,–,–,3.99,–,–,–,0.22,0.265,–,–,–,0.565,–,–,–,–,–,7.53,–,–,49.4,–,–,103,20.1,17.1,4.67,2.82,2.26,1.41,0.773,–,–,–,0.103
W,W12X14,W12X14,F,14,4.16,11.9,–,–,–,3.97,–,–,–,0.2,0.225,–,–,–,0.525,–,–,–,–,–,8.82,–,–,54.3,–,–,88.6,17.4,14.9,4.62,2.36,1.9,1.19,0.753,–,–,–,0.0704
W,W10X112,W10X112,F,112,32.9,11.4,–,–,–,10.4,–,–,–,0.755,1.25,–,–,–,1.75,–,–,–,–,–,4.17,–,–,10.4,–,–,716,147,126,4.66,236,69.2,45.3,2.68,–,–,–,15.1
W,W10X100,W10X100,F,100,29.3,11.1,–,–,–,10.3,–,–,–,0.68,1.12,–,–,–,1.62,–,–,–,–,–,4.62,–,–,11.6,–,–,623,130,112,4.6,207,61,40,2.65,–,–,–,10.9
W,W10X88,W10X88,F,88,26,10.8,–,–,–,10.3,–,–,–,0.605,0.99,–,–,–,1.49,–,–,–,–,–,5.18,–,–,13,–,–,534,113,98.5,4.54,179,53.1,34.8,2.63,–,–,–,7.53
W,W10X77,W10X77,F,77,22.7,10.6,–,–,–,10.2,–,–,–,0.53,0.87,–,–,–,1.37,–,–,–,–,–,5.86,–,–,14.8,–,–,455,97.6,85.9,4.49,154,45.9,30.1,2.6,–,–,–,5.11
W,W10X68,W10X68,F,68,19.9,10.4,–,–,–,10.1,–,–,–,0.47,0.77,–,–,–,1.27,–,–,–,–,–,6.58,–,–,16.7,–,–,394,85.3,75.7,4.44,134,40.1,26.4,2.59,–,–,–,3.56
W,W10X60,W10X60,F,60,17.7,10.2,–,–,–,10.1,–,–,–,0.42,0.68,–,–,–,1.18,–,–,–,–,–,7.41,–,–,18.7,–,–,341,74.6,66.7,4.39,116,35,23,2.57,–,–,–,2.48
W,W10X54,W10X54,F,54,15.8,10.1,–,–,–,10,–,–,–,0.37,0.615,–,–,–,1.12,–,–,–,–,–,8.15,–,–,21.2,–,–,303,66.6,60,4.37,103,31.3,20.6,2.56,–,–,–,1.82
W,W10X49,W10X49,F,49,14.4,10,–,–,–,10,–,–,–,0.34,0.56,–,–,–,1.06,–,–,–,–,–,8.93,–,–,23.1,–,–,272,60.4,54.6,4.35,93.4,28.3,18.7,2.54,–,–,–,1.39
W,W10X45,W10X45,F,45,13.3,10.1,–,–,–,8.02,–,–,–,0.35,0.62,–,–,–,1.12,–,–,–,–,–,6.47,–,–,22.5,–,–,248,54.9,49.1,4.32,53.4,20.3,13.3,2.01,–,–,–,1.51
W,W10X39,W10X39,F,39,11.5,9.92,–,–,–,7.99,–,–,–,0.315,0.53,–,–,–,1.03,–,–,–,–,–,7.53,–,–,25,–,–,209,46.8,42.1,4.27,45,17.2,11.3,1.98,–,–,–,0.976
W,W10X33,W10X33,F,33,9.71,9.73,–,–,–,7.96,–,–,–,0.29,0.435,–,–,–,0.935,–,–,–,–,–,9.15,–,–,27.1,–,–,171,38.8,35,4.19,36.6,14,9.2,1.94,–,–,–,0.583
W,W10X30,W10X30,F,30,8.84,10.5,–,–,–,5.81,–,–,–,0.3,0.51,–,–,–,0.81,–,–,–,–,–,5.7,–,–,29.5,–,–,170,36.6,32.4,4.38,16.7,8.84,5.75,1.37,–,–,–,0.622
W,W10X26,W10X26,F,26,7.61,10.3,–,–,–,5.77,–,–,–,0.26,0.44,–,–,–,0.74,–,–,–,–,–,6.56,–,–,34,–,–,144,31.3,27.9,4.35,14.1,7.5,4.89,1.36,–,–,–,0.402
W,W10X22,W10X22,F,22,6.49,10.2,–,–,–,5.75,–,–,–,0.24,0.36,–,–,–,0.66,–,–,–,–,–,7.99,–,–,36.9,–,–,118,26,23.2,4.27,11.4,6.1,3.97,1.33,–,–,–,0.239
W,W10X19,W10X19,F,19,5.62,10.2,–,–,–,4.02,–,–,–,0.25,0.395,–,–,–,0.695,–,–,–,–,–,5.09,–,–,35.4,–,–,96.3,21.6,18.8,4.14,4.29,3.35,2.14,0.874,–,–,–,0.233
W,W10X17,W10X17,F,17,4.99,10.1,–,–,–,4.01,–,–,–,0.24,0.33,–,–,–,0.63,–,–,–,–,–,6.08,–,–,36.9,–,–,81.9,18.7,16.2,4.05,3.56,2.8,1.78,0.845,–,–,–,0.156
W,W10X15,W10X15,F,15,4.41,9.99,–,–,–,4,–,–,–,0.23,0.27,–,–,–,0.57,–,–,–,–,–,7.41,–,–,38.5,–,–,68.9,16,13.8,3.95,2.89,2.3,1.45,0.81,–,–,–,0.104
W,W10X12,W10X12,F,12,3.54,9.87,–,–,–,3.96,–,–,–,0.19,0.21,–,–,–,0.51,–,–,–,–,–,9.43,–,–,46.6,–,–,53.8,12.6,10.9,3.9,2.18,1.74,1.1,0.785,–,–,–,0.0547
W,W8X67,W8X67,F,67,19.7,9,–,–,–,8.28,–,–,–,0.57,0.935,–,–,–,1.33,–,–,–,–,–,4.43,–,–,11.1,–,–,272,70.1,60.4,3.72,88.6,32.7,21.4,2.12,–,–,–,5.05
W,W8X58,W8X58,F,58,17.1,8.75,–,–,–,8.22,–,–,–,0.51,0.81,–,–,–,1.2,–,–,–,–,–,5.07,–,–,12.4,–,–,228,59.8,52,3.65,75.1,27.9,18.3,2.1,–,–,–,3.33
W,W8X48,W8X48,F,48,14.1,8.5,–,–,–,8.11,–,–,–,0.4,0.685,–,–,–,1.08,–,–,–,–,–,5.92,–,–,15.9,–,–,184,49,43.2,3.61,60.9,22.9,15,2.08,–,–,–,1.96
W,W8X40,W8X40,F,40,11.7,8.25,–,–,–,8.07,–,–,–,0.36,0.56,–,–,–,0.954,–,–,–,–,–,7.21,–,–,17.6,–,–,146,39.8,35.5,3.53,49.1,18.5,12.2,2.04,–,–,–,1.12
W,W8X35,W8X35,F,35,10.3,8.12,–,–,–,8.02,–,–,–,0.31,0.495,–,–,–,0.889,–,–,–,–,–,8.1,–,–,20.5,–,–,127,34.7,31.2,3.51,42.6,16.1,10.6,2.03,–,–,–,0.769
W,W8X31,W8X31,F,31,9.13,8,–,–,–,8,–,–,–,0.285,0.435,–,–,–,0.829,–,–,–,–,–,9.19,–,–,22.3,–,–,110,30.4,27.5,3.47,37.1,14.1,9.27,2.02,–,–,–,0.536
W,W8X28,W8X28,F,28,8.25,8.06,–,–,–,6.54,–,–,–,0.285,0.465,–,–,–,0.859,–,–,–,–,–,7.03,–,–,22.3,–,–,98,27.2,24.3,3.45,21.7,10.1,6.63,1.62,–,–,–,0.537
W,W8X24,W8X24,F,24,7.08,7.93,–,–,–,6.5,–,–,–,0.245,0.4,–,–,–,0.794,–,–,–,–,–,8.12,–,–,25.9,–,–,82.7,23.1,20.9,3.42,18.3,8.57,5.63,1.61,–,–,–,0.346
W,W8X21,W8X21,F,21,6.16,8.28,–,–,–,5.27,–,–,–,0.25,0.4,–,–,–,0.7,–,–,–,–,–,6.59,–,–,27.5,–,–,75.3,20.4,18.2,3.49,9.77,5.69,3.71,1.26,–,–,–,0.282
W,W8X18,W8X18,F,18,5.26,8.14,–,–,–,5.25,–,–,–,0.23,0.33,–,–,–,0.63,–,–,–,–,–,7.95,–,–,29.9,–,–,61.9,17,15.2,3.43,7.97,4.66,3.04,1.23,–,–,–,0.172
W,W8X15,W8X15,F,15,4.44,8.11,–,–,–,4.02,–,–,–,0.245,0.315,–,–,–,0.615,–,–,–,–,–,6.37,–,–,28.1,–,–,48,13.6,11.8,3.29,3.41,2.67,1.7,0.876,–,–,–,0.137
W,W8X13,W8X13,F,13,3.84,7.99,–,–,–,4,–,–,–,0.23,0.255,–,–,–,0.555,–,–,–,–,–,7.84,–,–,29.9,–,–,39.6,11.4,9.91,3.21,2.73,2.15,1.37,0.843,–,–,–,0.0871
W,W8X10,W8X10,F,10,2.96,7.89,–,–,–,3.94,–,–,–,0.17,0.205,–,–,–,0.505,–,–,–,–,–,9.61,–,–,40.5,–,–,30.8,8.87,7.81,3.22,2.09,1.66,1.06,0.841,–,–,–,0.0426
W,W6X25,W6X25,F,25,7.34,6.38,–,–,–,6.08,–,–,–,0.32,0.455,–,–,–,0.705,–,–,–,–,–,6.68,–,–,15.5,–,–,53.4,18.9,16.7,2.7,17.1,8.56,5.61,1.52,–,–,–,0.461
W,W6X20,W6X20,F,20,5.87,6.2,–,–,–,6.02,–,–,–,0.26,0.365,–,–,–,0.615,–,–,–,–,–,8.25,–,–,19.1,–,–,41.4,14.9,13.4,2.66,13.3,6.72,4.41,1.5,–,–,–,0.24
W,W6X15,W6X15,F,15,4.43,5.99,–,–,–,5.99,–,–,–,0.23,0.26,–,–,–,0.51,–,–,–,–,–,11.5,–,–,21.6,–,–,29.1,10.8,9.72,2.56,9.32,4.75,3.11,1.45,–,–,–,0.101
W,W6X16,W6X16,F,16,4.74,6.28,–,–,–,4.03,–,–,–,0.26,0.405,–,–,–,0.655,–,–,–,–,–,4.98,–,–,19.1,–,–,32.1,11.7,10.2,2.6,4.43,3.39,2.2,0.967,–,–,–,0.223
W,W6X12,W6X12,F,12,3.55,6.03,–,–,–,4,–,–,–,0.23,0.28,–,–,–,0.53,–,–,–,–,–,7.14,–,–,21.6,–,–,22.1,8.3,7.31,2.49,2.99,2.32,1.5,0.918,–,–,–,0.0903
W,W6X9,W6X9,F,9,2.68,5.9,–,–,–,3.94,–,–,–,0.17,0.215,–,–,–,0.465,–,–,–,–,–,9.16,–,–,29.2,–,–,16.4,6.23,5.56,2.47,2.2,1.72,1.11,0.905,–,–,–,0.0405
W,W6X8.5,W6X8.5,F,8.5,2.52,5.83,–,–,–,3.94,–,–,–,0.17,0.195,–,–,–,0.445,–,–,–,–,–,10.1,–,–,29.1,–,–,14.9,5.73,5.1,2.43,1.99,1.56,1.01,0.89,–,–,–,0.0333
W,W5X19,W5X19,F,19,5.56,5.15,–,–,–,5.03,–,–,–,0.27,0.43,–,–,–,0.73,–,–,–,–,–,5.85,–,–,13.7,–,–,26.3,11.6,10.2,2.17,9.13,5.53,3.63,1.28,–,–,–,0.316
W,W5X16,W5X16,F,16,4.71,5.01,–,–,–,5,–,–,–,0.24,0.36,–,–,–,0.66,–,–,–,–,–,6.94,–,–,15.4,–,–,21.4,9.63,8.55,2.13,7.51,4.58,3,1.26,–,–,–,0.192
W,W4X13,W4X13,F,13,3.83,4.16,–,–,–,4.06,–,–,–,0.28,0.345,–,–,–,0.595,–,–,–,–,–,5.88,–,–,10.6,–,–,11.3,6.28,5.46,1.72,3.86,2.92,1.9,1,–,–,–,0.151
